,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
34,Belaya Gora,100,RU,1577477424,95,68.54,146.19,-32.01,4.29
35,Hobyo,24,SO,1577477425,79,5.35,48.53,76.84,7.0
36,Mahebourg,40,MU,1577477426,88,-20.41,57.7,79.0,14.99
37,Castro,98,CL,1577477237,71,-42.48,-73.76,56.46,7.29
38,Kapaa,75,US,1577477428,73,22.08,-159.32,77.0,21.92
39,Hermanus,0,ZA,1577477429,75,-34.42,19.24,64.0,5.99
40,Mataura,56,NZ,1577477430,78,-46.19,168.86,51.01,15.99
41,Nuuk,40,GL,1577477431,85,64.17,-51.74,15.01,5.82
42,Nhulunbuy,12,AU,1577477432,83,-12.18,136.78,75.2,3.76
43,Amuntai,86,ID,1577477433,88,-2.42,115.25,74.53,0.87
44,Sept-Iles,90,CA,1577477215,85,50.2,-66.38,18.0,8.05
45,Aswan,0,EG,1577477222,48,24.09,32.9,54.54,9.51
46,Butaritari,100,KI,1577477184,75,3.07,172.79,84.2,14.7
47,Provideniya,0,RU,1577477438,82,64.42,-173.23,-12.77,7.43
48,Longyearbyen,75,NO,1577477180,62,78.22,15.63,19.4,4.7
49,Waingapu,100,ID,1577477440,74,-9.65,120.26,84.88,7.87
50,Bambous Virieux,40,MU,1577477441,88,-20.34,57.76,79.0,14.99
51,Havre-Saint-Pierre,90,CA,1577477257,72,50.23,-63.6,17.6,10.29
52,Oga,75,IT,1577477443,92,46.46,10.35,36.0,2.24
53,Jalcocotan,20,MX,1577477444,50,21.48,-105.1,78.8,5.82
54,Buzdyak,100,RU,1577477446,96,54.57,54.53,22.05,3.89
55,Turukhansk,100,RU,1577477447,96,65.8,87.96,-25.02,8.37
56,Mantua,0,IT,1577477448,80,45.16,10.79,43.0,4.7
57,Mount Gambier,100,AU,1577477420,72,-37.83,140.78,59.0,2.24
58,Touros,40,BR,1577477240,58,-5.2,-35.46,84.2,14.99
59,Gobabis,87,NA,1577477451,45,-22.45,18.97,77.22,4.12
60,New Norfolk,75,AU,1577477452,59,-42.78,147.06,62.6,4.7
61,Cape Town,20,ZA,1577477325,59,-33.93,18.42,64.99,23.04
62,Eyl,0,SO,1577477454,76,7.98,49.82,79.21,20.51
63,Dingle,0,PH,1577477455,91,11.0,122.67,73.67,7.38
64,Saint-Philippe,90,CA,1577477457,92,45.36,-73.48,44.6,12.91
65,Codrington,22,AU,1577477458,93,-28.95,153.24,63.0,1.92
66,Mar del Plata,100,AR,1577477459,21,-46.43,-67.52,77.77,34.49
67,Banikoara,0,BJ,1577477460,21,11.3,2.44,73.27,5.7
68,Atuona,99,PF,1577477461,76,-9.8,-139.03,81.09,19.69
69,Kalabo,14,ZM,1577477462,64,-15.0,22.67,74.41,4.97
70,Bethel,1,US,1577477174,68,60.79,-161.76,-18.4,20.8
71,San Patricio,10,PY,1577477464,39,-26.98,-56.83,97.09,5.17
72,Teguldet,0,RU,1577477238,97,57.31,88.17,-24.36,1.95
73,Tiksi,100,RU,1577477466,88,71.64,128.87,-29.94,5.93
74,Aklavik,90,CA,1577477468,74,68.22,-135.01,-25.6,3.36
75,Georgetown,40,GY,1577477469,79,6.8,-58.16,84.2,9.17
76,Hualmay,82,PE,1577477456,62,-11.1,-77.61,75.47,10.2
77,Ribeira Grande,40,PT,1577477471,87,38.52,-28.7,60.8,14.99
78,Qaanaaq,0,GL,1577477472,55,77.48,-69.36,-6.25,6.73
79,Alofi,75,NU,1577477473,65,-19.06,-169.92,80.6,11.41
80,Waverly,1,US,1577477474,63,37.04,-77.1,64.4,9.17
81,Vaini,76,IN,1577477475,81,15.34,74.49,69.49,3.27
82,Salamanca,75,MX,1577477476,31,20.57,-101.19,75.99,12.75
83,Carnarvon,0,ZA,1577477451,38,-30.97,22.13,57.92,22.32
84,Ayan,98,IR,1577477479,82,38.23,44.7,20.16,9.01
85,Biala Podlaska,99,PL,1577477479,80,52.03,23.12,32.2,16.08
86,Portland,90,US,1577477353,86,43.66,-70.25,43.0,11.41
87,Nyimba,100,ZM,1577477482,87,-14.56,30.81,71.13,3.65
88,Hobart,75,AU,1577477483,59,-42.88,147.33,62.6,4.7
89,Isangel,66,VU,1577477485,86,-19.55,169.27,78.44,17.72
90,Eureka,1,US,1577477486,81,40.8,-124.16,53.01,3.36
91,Cherskiy,0,RU,1577477487,90,68.75,161.3,-23.13,9.22
92,Vero Beach,75,US,1577477356,94,27.64,-80.4,75.99,10.29
93,Narsaq,75,GL,1577477490,58,60.91,-46.05,26.6,5.06
94,Santa Clara,40,CU,1577477491,61,22.41,-79.97,84.2,12.75
95,La Ronge,75,CA,1577477492,84,55.1,-105.3,8.6,4.7
96,Ponta do Sol,16,BR,1577477494,80,-20.63,-46.0,76.03,4.7
97,Guerrero Negro,0,MX,1577477495,53,27.97,-114.04,63.27,15.35
98,Cabo San Lucas,75,MX,1577477294,56,22.89,-109.91,73.99,11.41
99,Yola,0,NG,1577477497,18,9.26,12.45,75.43,6.42
100,Kaltan,0,RU,1577477498,96,53.52,87.29,-13.29,3.42
101,Hauterive,90,CA,1577477499,92,49.18,-68.27,21.2,6.93
102,Lebu,20,ET,1577477500,67,8.96,38.73,57.2,12.75
103,Berdigestyakh,51,RU,1577477501,97,62.1,126.7,-39.41,2.3
104,Moranbah,72,AU,1577477503,75,-22.0,148.04,73.49,20.78
105,Lata,0,IN,1577477504,6,30.78,78.62,18.34,6.76
106,Ciudad Guayana,100,VE,1577477505,84,8.32,-62.69,81.45,5.97
107,Sola,100,TZ,1577477506,84,-3.17,33.8,65.44,4.99
108,Port Lincoln,33,AU,1577477508,49,-34.72,135.86,70.45,10.65
109,Tasiilaq,75,GL,1577477509,86,65.61,-37.64,26.6,5.82
110,Arlit,12,NE,1577477510,16,18.74,7.39,68.63,12.5
111,Veraval,90,FR,1577477511,93,49.65,0.71,46.4,1.88
112,Anadyr,40,RU,1577477513,73,64.73,177.51,-32.01,6.71
113,Talnakh,100,RU,1577477514,74,69.49,88.39,-27.4,6.71
114,Airai,0,TL,1577477515,88,-8.93,125.41,68.99,3.8
115,Tautira,40,PF,1577477229,88,-17.73,-149.15,77.0,3.36
116,Cayenne,75,GF,1577477517,83,4.94,-52.33,82.4,4.7
117,Kaitangata,100,NZ,1577477518,69,-46.28,169.85,53.01,17.0
118,Tucupita,100,VE,1577477520,84,9.06,-62.05,81.93,2.46
119,Lorengau,99,PG,1577477521,77,-2.02,147.27,83.93,15.32
120,Sawtell,75,AU,1577477522,88,-30.38,153.1,64.4,5.82
121,Tuatapere,61,NZ,1577477523,78,-46.13,167.69,51.01,15.99
122,Kitimat,90,CA,1577477525,100,54.02,-128.69,37.0,13.87
123,General Roca,67,AR,1577477526,23,-39.03,-67.58,86.0,4.7
124,Cooma,0,AU,1577477527,72,-36.24,149.13,62.6,8.05
125,Khatanga,99,RU,1577477530,97,71.98,102.47,-23.44,6.93
126,Iturama,90,BR,1577477531,79,-19.73,-50.2,82.42,0.98
127,Morondava,90,MG,1577477535,84,-20.3,44.28,80.85,4.27
128,Nioro,0,GM,1577477536,10,13.79,-15.05,79.81,3.71
129,San Cristobal,0,HN,1577477538,46,14.68,-86.92,79.68,4.79
130,Agidel,100,RU,1577477539,87,55.9,53.94,15.42,3.96
131,Kroya,91,ID,1577477540,90,-6.5,108.06,76.23,2.57
132,Merauke,56,ID,1577477542,94,-8.49,140.4,76.03,3.47
133,Zeya,100,RU,1577477543,97,53.74,127.27,-23.17,1.16
134,Esperance,0,AU,1577477544,93,-33.86,121.89,59.0,5.82
135,Doha,0,QA,1577477383,72,25.29,51.53,69.8,4.7
136,La Rioja,67,AR,1577477546,34,-29.41,-66.86,87.37,8.48
137,Payo,90,ID,1577477547,98,-3.75,103.64,66.7,1.57
138,Bluff,35,AU,1577477446,68,-23.58,149.07,72.64,16.69
139,Kumluca,61,TR,1577477551,67,36.37,30.29,46.74,2.91
140,Kodiak,75,US,1577477552,64,39.95,-94.76,42.01,10.29
141,East Cleveland,1,US,1577477333,81,41.53,-81.58,59.0,11.41
142,Houma,0,CN,1577477555,24,35.63,111.36,33.44,2.98
143,Serabu,2,SL,1577477556,76,7.79,-12.05,78.19,3.33
144,Komsomolskiy,100,RU,1577477455,98,67.55,63.78,-5.89,9.86
145,Santa Fe,0,AR,1577477490,56,-31.62,-60.7,100.99,8.99
146,Babstovo,98,RU,1577477561,94,48.12,132.48,-12.19,1.25
147,Hithadhoo,95,MV,1577477562,80,-0.6,73.08,82.69,14.07
148,Pasighat,2,IN,1577477563,81,28.06,95.33,52.16,2.21
149,Cidreira,17,BR,1577477565,86,-30.17,-50.22,74.3,22.64
150,Ayagoz,0,KZ,1577477566,74,47.96,80.43,6.37,9.91
151,Necochea,99,AR,1577477568,66,-38.55,-58.74,74.86,20.76
152,Atar,0,MR,1577477569,11,20.52,-13.05,71.26,10.07
153,Nome,90,US,1577477570,83,30.04,-94.42,71.6,9.17
154,Wuwei,0,CN,1577477571,21,37.93,102.64,20.14,4.76
155,Port Hardy,90,CA,1577477573,100,50.7,-127.42,37.4,3.36
156,Sikasso,0,ML,1577477574,15,11.32,-5.68,71.65,1.66
157,Qidong,0,CN,1577477575,43,31.81,121.66,44.01,4.43
158,Port Moresby,20,PG,1577477398,100,-9.47,147.16,73.4,3.36
159,Barrow,51,AR,1577477577,24,-38.31,-60.23,95.56,7.49
160,Caraquet,90,CA,1577477578,67,47.79,-64.94,21.99,3.36
161,Skjervoy,40,NO,1577477579,67,70.03,20.97,32.0,24.16
162,Saint George,40,GR,1577477580,60,39.45,22.34,42.8,5.82
163,Taoudenni,0,ML,1577477582,14,22.68,-3.98,67.59,9.31
164,Rio Gallegos,40,AR,1577477583,21,-51.62,-69.22,69.8,25.28
165,Lagdo,0,CM,1577477584,37,9.06,13.67,69.8,3.36
166,Tumaco,85,CO,1577477585,88,1.8,-78.82,77.94,14.76
167,Geraldton,75,CA,1577477586,85,49.72,-86.95,23.0,13.87
168,Chokurdakh,100,RU,1577477587,96,70.62,147.9,-20.04,6.73
169,Ostrovnoy,100,RU,1577477588,96,68.05,39.51,15.96,6.98
170,Makakilo City,1,US,1577477589,69,21.35,-158.09,80.6,8.05
171,Zernograd,100,RU,1577477590,89,46.84,40.3,42.53,4.27
172,Paita,41,PE,1577477591,100,-5.09,-81.11,62.6,14.99
173,Murray Bridge,100,AU,1577477593,50,-35.12,139.28,81.0,5.99
174,Salalah,94,OM,1577477594,44,17.01,54.1,80.6,20.8
175,Coquimbo,2,CL,1577477595,68,-29.95,-71.34,64.4,13.87
176,Breznik,75,SI,1577477596,96,46.14,14.89,37.4,2.24
177,Mugumu,37,TZ,1577477598,93,-1.84,34.67,62.26,2.08
178,Otjimbingwe,99,NA,1577477600,25,-22.35,16.13,78.39,6.82
179,Ulety,100,RU,1577477601,95,51.36,112.48,-6.11,2.86
180,The Pas,90,CA,1577477602,72,53.82,-101.24,14.0,3.36
181,Severo-Kurilsk,100,RU,1577477604,94,50.68,156.12,21.99,4.85
182,Riyadh,0,SA,1577477605,45,24.63,46.72,62.6,3.36
183,Yeniseysk,8,RU,1577477606,97,58.45,92.17,-32.55,1.79
184,Liuzhou,97,CN,1577477607,50,24.32,109.41,53.89,6.51
185,Constitucion,75,MX,1577477608,28,23.99,-104.67,69.8,14.99
186,Muncie,90,US,1577477325,81,40.19,-85.39,46.4,5.82
187,Neuquen,67,AR,1577477610,25,-38.95,-68.06,84.2,3.36
188,Oni,100,GE,1577477611,97,42.59,43.44,32.41,3.15
189,Mikhaylovskaya,100,RU,1577477612,92,44.99,40.6,43.61,11.32
190,Takestan,75,IR,1577477614,93,36.07,49.69,41.0,2.24
191,Bocana de Paiwas,68,NI,1577477615,76,12.79,-85.12,79.7,10.07
192,Kribi,100,CM,1577477617,82,2.94,9.91,79.36,6.31
193,Ancud,42,CL,1577477618,78,-41.87,-73.83,59.47,9.64
194,Daru,52,PG,1577477619,92,-9.07,143.21,77.0,2.42
195,Chiknayakanhalli,10,IN,1577477620,82,13.42,76.62,68.47,5.73
196,Vao,100,EE,1577477621,86,59.1,26.19,27.05,12.1
197,Vila Velha,100,BR,1577477622,58,-3.71,-38.6,86.0,11.41
198,Whitehorse,40,CA,1577477623,73,60.72,-135.06,23.0,13.87
199,Pevek,100,RU,1577477624,100,69.7,170.27,-20.45,6.82
200,Bredasdorp,0,ZA,1577477626,63,-34.53,20.04,62.6,9.17
201,Chara,40,GR,1577477627,60,39.42,22.43,42.8,5.82
202,Quthing,0,LS,1577477628,67,-30.4,27.7,55.51,9.01
203,Tabou,0,CI,1577477629,82,4.42,-7.36,78.6,3.31
204,Puerto Ayora,40,EC,1577477605,58,-0.74,-90.35,84.2,17.22
205,Clyde River,75,CA,1577477631,91,70.47,-68.59,-0.4,11.41
206,Husavik,0,CA,1577477632,54,50.56,-96.99,32.0,10.0
207,Los Llanos de Aridane,0,ES,1577477633,77,28.66,-17.92,66.2,5.82
208,Dedougou,0,BF,1577477634,13,12.47,-3.47,74.46,5.64
209,Quatre Cocos,40,MU,1577477635,83,-20.21,57.76,79.0,16.11
210,Sukumo,0,JP,1577477637,70,32.94,132.72,43.79,14.54
211,Pilani,0,IN,1577477638,29,28.36,75.6,48.42,5.28
212,Kathmandu,20,NP,1577477639,93,27.71,85.32,39.2,3.36
213,Alamos,38,AR,1577477640,52,-36.9,-62.36,85.77,14.23
214,Luderitz,0,NA,1577477641,46,-26.65,15.16,69.8,17.22
215,Jalu,92,LY,1577477642,50,29.03,21.55,59.23,3.51
216,Podor,0,MR,1577477644,9,16.65,-14.96,77.79,7.38
217,Borogontsy,47,RU,1577477526,96,62.67,131.17,-39.33,0.54
218,Laramie,20,US,1577477353,74,41.31,-105.59,30.2,5.82
219,Buala,27,SB,1577477647,81,-8.15,159.59,79.9,2.8
220,Acajutla,0,SV,1577477648,35,13.59,-89.83,86.0,6.93
221,Alice Springs,0,AU,1577477472,23,-23.7,133.88,82.4,3.36
222,Hasaki,20,JP,1577477651,64,35.73,140.83,37.4,6.93
223,Dindori,0,IN,1577477652,51,22.94,81.08,41.09,3.65
224,Carroll,0,AU,1577477654,72,-30.99,150.44,64.4,5.82
225,Montrose,75,GB,1577477655,93,56.71,-2.47,48.0,10.11
226,Belokurikha,3,RU,1577477656,94,52.0,84.99,-5.75,2.68
227,Issoudun,90,FR,1577477657,87,46.95,1.99,46.99,4.7
228,Cedar City,90,US,1577477652,86,37.68,-113.06,28.4,12.75
229,Nalut,0,LY,1577477659,53,31.86,10.98,51.08,2.13
230,Beringovskiy,73,RU,1577477527,93,63.05,179.32,-16.11,20.47
231,Margate,75,AU,1577477632,59,-43.03,147.26,62.6,4.7
232,Coahuayana,0,MX,1577477662,31,18.62,-100.35,92.32,2.82
233,Fort Collins,75,US,1577477572,69,40.55,-105.07,36.0,4.7
234,Yellowknife,90,CA,1577477615,77,62.45,-114.38,-0.4,14.99
235,Soyo,20,AO,1577477666,83,-6.13,12.37,82.4,3.96
236,Soe,100,EE,1577477667,80,57.91,26.05,30.2,10.29
237,Sajokaza,75,HU,1577477668,64,48.28,20.58,37.4,11.41
238,Zhezkazgan,100,KZ,1577477395,93,47.8,67.71,20.43,9.15
239,Gat,0,SN,1577477670,69,14.69,-16.54,86.0,11.41
240,Prieska,33,ZA,1577477671,9,-29.67,22.74,70.41,7.81
241,Katsuura,20,JP,1577477672,86,33.93,134.5,37.4,9.17
242,Gaogou,0,CN,1577477673,63,31.12,117.94,38.48,3.94
243,College,1,US,1577477674,73,64.86,-147.8,-25.01,2.62
244,Kahului,40,US,1577477620,74,20.89,-156.47,78.8,14.99
245,Rorvik,100,NO,1577477677,61,64.86,11.24,30.99,10.0
246,Chicama,100,PE,1577477678,73,-7.84,-79.15,75.2,10.29
247,Mangrol,0,IN,1577477679,36,25.33,76.51,46.92,3.85
248,Pangnirtung,40,CA,1577477680,84,66.15,-65.72,1.4,6.93
249,Lagoa,0,PT,1577477681,67,37.14,-8.45,63.0,3.36
250,Burnie,100,AU,1577477682,79,-41.05,145.91,64.0,5.01
251,Abbeville,90,FR,1577477683,93,50.11,1.83,46.99,5.82
252,Upernavik,0,GL,1577477685,71,72.79,-56.15,-1.79,5.82
253,Batagay,30,RU,1577477686,93,67.65,134.64,-36.51,1.95
254,Santa Cruz,24,BR,1577477687,61,-6.22,-36.02,78.53,12.62
255,Smithers,75,CA,1577477468,92,54.78,-127.17,21.2,2.24
256,Celestun,1,MX,1577477689,67,20.87,-90.4,75.99,8.3
257,Maun,40,BW,1577477690,45,-19.99,23.42,87.8,4.7
258,Tahe,96,CN,1577477691,97,52.34,124.71,-22.25,1.68
259,Iqaluit,75,CA,1577477692,70,63.75,-68.52,-0.4,13.87
260,Lompoc,1,US,1577477693,36,34.64,-120.46,64.0,8.05
261,Barranca,100,PE,1577477694,89,-10.75,-77.76,69.66,13.96
262,Rockland,90,CA,1577477696,100,45.55,-75.29,41.0,9.17
263,Waddan,0,LY,1577477697,73,29.16,16.14,53.2,4.21
264,Yar-Sale,97,RU,1577477698,99,66.83,70.83,-6.36,5.75
265,Manitowoc,90,US,1577477591,71,44.09,-87.66,36.0,12.75
266,Sisian,75,AM,1577477700,93,39.53,46.03,41.0,11.41
267,Jatai,0,IN,1577477701,40,28.97,76.18,46.71,2.77
268,Otukpo,23,NG,1577477702,19,7.19,8.13,79.12,3.09
269,Leshukonskoye,100,RU,1577477703,95,64.9,45.76,10.38,5.06
270,Hovd,100,NO,1577477704,73,63.83,10.7,33.01,17.22
271,Lidkoping,0,SE,1577477705,86,58.51,13.16,28.99,4.7
272,Hajnowka,100,PL,1577477707,91,52.74,23.58,35.01,4.0
273,Road Town,40,VG,1577477500,78,18.42,-64.62,82.4,9.17
274,Vila Franca do Campo,75,PT,1577477709,93,37.72,-25.43,64.4,26.4
275,Masuguru,100,MZ,1577477710,92,-11.38,38.46,73.72,1.57
276,Janow Lubelski,75,PL,1577477711,86,50.71,22.41,37.0,10.29
277,Shambu,32,ET,1577477712,69,9.57,37.1,55.08,2.95
278,Saldanha,1,PT,1577477713,71,41.42,-6.55,40.84,3.85
279,Shahreza,0,IR,1577477714,29,32.01,51.87,40.06,6.96
280,Hokota,20,JP,1577477715,92,36.26,140.53,37.4,1.12
281,Guatire,100,VE,1577477716,70,10.47,-66.54,86.0,4.7
282,Poum,40,MK,1577477718,68,41.28,20.71,28.4,5.82
283,Povenets,94,RU,1577477719,84,62.85,34.83,23.61,12.33
284,Rudnogorsk,0,RU,1577477720,94,57.27,103.75,-33.34,1.14
285,Luwuk,99,ID,1577477721,77,-0.95,122.79,81.9,7.54
286,Kununurra,1,AU,1577477722,94,-15.77,128.74,82.4,3.36
287,Puerto Colombia,75,CO,1577477723,70,10.99,-74.96,87.8,10.29
288,Laguna,40,BZ,1577477724,65,16.17,-88.94,82.4,6.93
289,Solnechnyy,16,RU,1577477725,94,50.72,136.64,-19.79,1.52
290,Sayyan,76,YE,1577477726,48,15.17,44.32,50.65,1.45
291,Saint Anthony,90,US,1577477728,79,43.97,-111.68,24.8,3.74
292,Fairbanks,1,US,1577477598,73,64.84,-147.72,-25.01,2.06
293,Labuhan,86,ID,1577477730,88,-2.54,115.51,74.53,0.87
294,Sitka,99,US,1577477731,96,37.17,-99.65,30.99,1.01
295,Port-Gentil,20,GA,1577477732,83,-0.72,8.78,82.4,3.36
296,Hanyang,0,CN,1577477733,61,32.14,105.51,37.15,1.66
297,Porto de Moz,79,BR,1577477734,69,-1.75,-52.24,85.41,3.94
298,Innisfail,53,AU,1577477735,91,-17.52,146.03,73.9,4.99
299,Asnaes,1,DK,1577477737,70,55.81,11.5,33.01,6.93
300,Huilong,86,CN,1577477738,76,31.15,106.5,43.43,2.73
301,Banda Aceh,14,ID,1577477739,89,5.56,95.32,72.57,4.63
302,Faya,1,SA,1577477740,82,18.39,42.45,57.2,9.17
303,Wete,14,TZ,1577477741,84,-5.06,39.73,82.6,15.68
304,Sinnamary,98,GF,1577477742,83,5.38,-52.96,80.29,13.96
305,Sobolevo,100,RU,1577477743,97,54.43,31.9,33.49,9.28
306,Hofn,100,IS,1577477744,78,64.25,-15.21,46.78,41.07
307,Gallup,75,US,1577477618,80,35.53,-108.74,33.8,10.29
308,Augusto Correa,97,BR,1577477746,90,-1.02,-46.63,78.21,6.89
309,Ola,100,RU,1577477748,66,59.58,151.3,12.15,31.18
310,Kimbe,74,PG,1577477749,93,-5.56,150.15,74.95,1.86
311,Acapulco,40,MX,1577477750,70,16.86,-99.88,86.0,5.82
312,Chester,75,GB,1577477741,100,53.19,-2.89,48.0,5.82
313,Grootfontein,100,NA,1577477753,63,-19.56,18.1,72.7,7.29
314,Hailar,16,CN,1577477754,98,49.2,119.7,-21.42,4.41
315,Ajdabiya,88,LY,1577477755,56,30.75,20.22,61.79,2.39
316,Dunda,0,IN,1577477756,20,30.62,78.32,37.04,5.28
317,Colgong,0,IN,1577477757,53,25.27,87.22,50.32,7.07
318,Mattru,0,SL,1577477758,85,7.62,-11.83,77.86,4.34
319,Dwarka,0,IN,1577477759,100,28.58,77.04,55.0,3.44
320,Saskylakh,100,RU,1577477760,96,71.97,114.09,-29.29,7.43
321,Ahipara,37,NZ,1577477761,80,-35.17,173.16,64.45,10.13
322,Santa Isabel do Rio Negro,100,BR,1577477762,66,-0.41,-65.02,86.02,3.13
323,Luau,97,CD,1577477763,95,-10.7,22.23,66.76,3.42
324,Tuktoyaktuk,20,CA,1577477765,73,69.44,-133.03,-32.8,9.17
325,Juneau,90,US,1577477641,95,58.3,-134.42,37.4,14.99
326,Altay,0,CN,1577477767,61,47.83,88.13,1.33,6.91
327,Kutoarjo,94,ID,1577477768,85,-7.72,109.9,70.65,3.31
328,Otradnoye,90,RU,1577477769,81,59.77,30.8,32.0,11.18
329,Alta Floresta,75,BR,1577477770,49,-9.87,-56.08,93.2,3.36
330,Pemba,75,MZ,1577477771,94,-12.97,40.52,80.6,10.29
331,Aksu,0,KZ,1577477772,83,52.04,76.93,-13.0,17.9
332,Nizhniy Lomov,100,RU,1577477775,95,53.53,43.67,18.14,3.96
333,Muroto,0,JP,1577477776,81,33.37,134.14,35.87,5.91
334,Srednekolymsk,98,RU,1577477777,88,67.46,153.71,-28.35,2.75
335,Outjo,88,NA,1577477778,44,-20.11,16.16,80.6,3.36
336,Kortkeros,75,RU,1577477780,92,61.81,51.56,21.2,11.18
337,Rabo de Peixe,75,PT,1577477781,93,37.8,-25.58,64.4,26.4
338,Seoul,1,KR,1577477525,85,37.57,126.98,24.8,1.12
339,Farafenni,0,GM,1577477784,11,13.57,-15.6,76.06,0.78
340,Qaqortoq,75,GL,1577477785,58,60.72,-46.03,26.6,4.0
341,Sao Filipe,0,CV,1577477786,69,14.9,-24.5,72.41,7.45
342,Grimshaw,40,CA,1577477787,73,56.19,-117.61,32.0,6.93
343,Shingu,0,JP,1577477788,68,33.72,135.99,42.91,8.14
344,Manbij,0,SY,1577477789,93,36.53,37.96,37.4,4.25
345,Caldwell,90,US,1577477670,64,43.67,-116.69,36.0,4.12
346,Lubao,100,CD,1577477792,96,-5.39,25.75,70.0,2.48
347,Chiredzi,47,ZW,1577477794,78,-21.05,31.67,78.13,17.6
348,Charyshskoye,0,RU,1577477795,87,51.4,83.56,-2.36,4.12
349,Moindou,90,NC,1577477796,94,-21.69,165.68,73.4,4.7
350,Coihaique,90,CL,1577477797,87,-45.58,-72.07,51.8,12.75
351,Taltal,100,CL,1577477798,70,-25.41,-70.49,65.52,7.16
352,Tuy Hoa,6,VN,1577477799,81,13.08,109.3,75.07,22.7
353,Santa Maria,40,BR,1577477600,48,-16.02,-48.01,86.0,14.99
354,Iquitos,40,PE,1577477523,100,-3.75,-73.25,42.8,3.36
355,Nueva Helvecia,99,UY,1577477804,47,-34.28,-57.23,93.99,15.21
356,Viedma,100,AR,1577477609,22,-40.81,-62.99,82.36,5.41
357,Pauini,100,BR,1577477807,51,-7.71,-67.0,92.32,1.81
358,Kruisfontein,91,ZA,1577477808,86,-34.0,24.73,58.17,12.33
359,Cartagena,25,ES,1577477809,100,37.63,-1.0,55.0,3.36
360,Biograd na Moru,20,HR,1577477810,63,43.94,15.45,48.0,4.7
361,Bowen,75,AU,1577477811,100,-20.01,148.25,73.99,8.05
362,Bodden Town,40,KY,1577477812,74,19.28,-81.25,82.99,8.05
363,Sokoto,0,NG,1577477813,16,13.06,5.24,69.55,10.47
364,Raudeberg,75,NO,1577477815,69,61.99,5.14,42.8,28.86
365,Batticaloa,96,LK,1577477816,88,7.71,81.69,73.54,1.52
366,Lavrentiya,0,RU,1577477817,83,65.58,-170.99,-12.15,9.44
367,Barsovo,99,RU,1577477818,83,61.17,73.17,-9.4,6.71
368,Sandwick,100,GB,1577477819,93,54.57,-2.89,51.01,10.29
369,Ravar,0,IR,1577477820,36,31.27,56.81,45.63,3.27
370,Naze,8,NG,1577477822,73,5.43,7.07,77.0,6.33
371,Vrangel,0,RU,1577477823,56,42.73,133.08,21.52,14.45
372,Kavieng,100,PG,1577477824,77,-2.57,150.8,80.44,8.7
373,Inongo,100,CD,1577477826,80,-1.93,18.29,76.3,3.31
374,Fortuna,1,US,1577477827,70,40.6,-124.16,53.01,3.36
